================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
  暗  U+6697            1        1       +0 동일
  显  U+663E            4        4       +0 동일
  鹏  U+9E4F            7        7       +0 동일
  犬  U+72AC            4        4       +0 동일
  匆  U+5306            2        2       +0 동일
  𤆵  U+241B5           2        2       +0 동일
  销  U+9500           12       12       +0 동일
  戳  U+6233            1        1       +0 동일
  平  U+5E73          433      433       +0 동일
  装  U+88C5           21       21       +0 동일
  昔  U+6614            1        1       +0 동일
  簿  U+7C3F            3        3       +0 동일
  兽  U+517D            2        2       +0 동일
  盟  U+76DF            1        1       +0 동일
  閥  U+95A5            2        2       +0 동일
  瘫  U+762B            2        2       +0 동일
  灶  U+7076            1        1       +0 동일
  歇  U+6B47            2        2       +0 동일
  谊  U+8C0A            2        2       +0 동일
  池  U+6C60           13       13       +0 동일
  諸  U+8AF8            1        1       +0 동일
  辞  U+8F9E            6        6       +0 동일
  桑  U+6851            3        3       +0 동일
  湓  U+6E53            2        2       +0 동일
  亮  U+4EAE           14       14       +0 동일
  卡  U+5361            4        4       +0 동일
  沛  U+6C9B            9        9       +0 동일
  掌  U+638C            9        9       +0 동일
  闭  U+95ED            2        2       +0 동일
  够  U+591F            4        4       +0 동일
  刊  U+520A            3        3       +0 동일
  抱  U+62B1            9        9       +0 동일
  钢  U+94A2            9        9       +0 동일
  兔  U+5154            3        3       +0 동일
  寿  U+5BFF            6        6       +0 동일
  册  U+518C            1        1       +0 동일
  完  U+5B8C           19       19       +0 동일
  葉  U+8449            1        1       +0 동일
  埔  U+57D4            2        2       +0 동일
  涝  U+6D9D            1        1       +0 동일
  拟  U+62DF            1        1       +0 동일
  奋  U+594B            6        6       +0 동일
  蛟  U+86DF            1        1       +0 동일
  澱  U+6FB1            1        1       +0 동일
  弗  U+5F17            2        2       +0 동일
  井  U+4E95            9        9       +0 동일
  姜  U+59DC            3        3       +0 동일
  緶  U+7DF6            1        1       +0 동일
  鮃  U+9B83            1        1       +0 동일
  邹  U+90B9            1        1       +0 동일
  笞  U+7B1E            2        2       +0 동일
  讷  U+8BB7            1        1       +0 동일
  纠  U+7EA0            4        4       +0 동일
  啊  U+554A            3        3       +0 동일
  孟  U+5B5F            1        1       +0 동일
  赋  U+8D4B            4        4       +0 동일
  莖  U+8396            2        2       +0 동일
  敵  U+6575            1        1       +0 동일
  蝕  U+8755            5        5       +0 동일
  迅  U+8FC5            4        4       +0 동일
  理  U+7406           46       46       +0 동일
  刻  U+523B            8        8       +0 동일
  閏  U+958F            1        1       +0 동일
  诈  U+8BC8            1        1       +0 동일
  敌  U+654C           27       27       +0 동일
  轡  U+8F61            1        1       +0 동일
  季  U+5B63            1        1       +0 동일
  圣  U+5723            2        2       +0 동일
  矣  U+77E3            1        1       +0 동일
  姚  U+59DA            3        3       +0 동일
  害  U+5BB3           13       13       +0 동일
  方  U+65B9          199      199       +0 동일
  漏  U+6F0F            4        4       +0 동일
  潰  U+6F70            1        1       +0 동일
  靠  U+9760           10       10       +0 동일
  冯  U+51AF            7        7       +0 동일
  紫  U+7D2B            5        5       +0 동일
  淫  U+6DEB            1        1       +0 동일
  怪  U+602A            8        8       +0 동일
  才  U+624D           27       27       +0 동일
  痫  U+75EB            1        1       +0 동일
  惊  U+60CA            5        5       +0 동일
  慓  U+6153            3        3       +0 동일
  奖  U+5956            5        5       +0 동일
  夏  U+590F            1        1       +0 동일
  孃  U+5B43            1        1       +0 동일
  庵  U+5EB5            1        1       +0 동일
  蓬  U+84EC           64       64       +0 동일
  曳  U+66F3            1        1       +0 동일
  盤  U+76E4            8        8       +0 동일
  宦  U+5BA6            2        2       +0 동일
  凶  U+51F6            5        5       +0 동일
  札  U+672D            1        1       +0 동일
  荒  U+8352            7        7       +0 동일
  傚  U+509A            2        2       +0 동일
  溅  U+6E85            1        1       +0 동일
  闻  U+95FB            6        6       +0 동일
  妇  U+5987           13       13       +0 동일
  提  U+63D0           26       26       +0 동일
  措  U+63AA            2        2       +0 동일
  節  U+7BC0            3        3       +0 동일
  算  U+7B97            9        9       +0 동일
  管  U+7BA1           26       26       +0 동일
  挂  U+6302           10       10       +0 동일
  极  U+6781           10       10       +0 동일
  劈  U+5288           69       69       +0 동일
  磐  U+78D0            9        9       +0 동일
  倒  U+5012           17       17       +0 동일
  环  U+73AF            3        3       +0 동일
  纱  U+7EB1            5        5       +0 동일
  坏  U+574F           13       13       +0 동일
  儷  U+5137            4        4       +0 동일
  户  U+6237           17       17       +0 동일
  隆  U+F9DC            1        1       +0 동일
  挾  U+633E            3        3       +0 동일
  绽  U+7EFD            6        6       +0 동일
  豆  U+8C46            4        4       +0 동일
  多  U+591A           58       58       +0 동일
  痱  U+75F1            1        1       +0 동일
  墙  U+5899           13       13       +0 동일
  椰  U+6930            1        1       +0 동일
  蛮  U+86EE            1        1       +0 동일
  梁  U+6881            5        5       +0 동일
  节  U+8282           18       18       +0 동일
  毁  U+6BC1            5        5       +0 동일
  蜡  U+8721            2        2       +0 동일
  痕  U+75D5            1        1       +0 동일
  耗  U+8017            1        1       +0 동일
  隆  U+9686            4        4       +0 동일
  辆  U+8F86            7        7       +0 동일
  檄  U+6A84            1        1       +0 동일
  宕  U+5B95            1        1       +0 동일
  怜  U+601C            2        2       +0 동일
  郄  U+90C4            1        1       +0 동일
  霍  U+970D            1        1       +0 동일
  楊  U+694A            1        1       +0 동일
  半  U+534A           19       19       +0 동일
  舷  U+8237            1        1       +0 동일
  接  U+63A5           15       15       +0 동일
  華  U+83EF            1        1       +0 동일
  趾  U+8DBE            1        1       +0 동일
  賦  U+8CE6            1        1       +0 동일
  熬  U+71AC            2        2       +0 동일
  逝  U+901D            1        1       +0 동일
  睫  U+776B            4        4       +0 동일
  刨  U+5228           26       26       +0 동일
  仁  U+4EC1            1        1       +0 동일
  鋒  U+92D2            1        1       +0 동일
  镇  U+9547            2        2       +0 동일
  莉  U+8389            1        1       +0 동일
  瑞  U+745E            1        1       +0 동일
  古  U+53E4           27       27       +0 동일
  葫  U+846B            4        4       +0 동일
  幀  U+5E40            1        1       +0 동일
  淳  U+6DF3            2        2       +0 동일
  翩  U+7FE9           14       14       +0 동일
  碳  U+78B3            2        2       +0 동일
  栖  U+6816            4        4       +0 동일
  舒  U+8212            1        1       +0 동일
  扎  U+624E            8        8       +0 동일
  原  U+539F           27       27       +0 동일
  異  U+7570            4        4       +0 동일
  滇  U+6EC7            1        1       +0 동일
  隸  U+F9B8            1        1       +0 동일
  在  U+5728          183      183       +0 동일
  急  U+6025            9        9       +0 동일
  帚  U+5E1A            1        1       +0 동일
  员  U+5458           33       33       +0 동일
  娥  U+5A25            1        1       +0 동일
  鹿  U+9E7F            4        4       +0 동일
  桓  U+6853            1        1       +0 동일
  妻  U+59BB           14       14       +0 동일
  范  U+8303            6        6       +0 동일
  抛  U+629B           57       57       +0 동일
  共  U+5171           16       16       +0 동일
  鼻  U+9F3B            7        7       +0 동일
  孔  U+5B54           10       10       +0 동일
  政  U+653F           15       15       +0 동일
  预  U+9884            2        2       +0 동일
  览  U+89C8            2        2       +0 동일
  抉  U+6289            4        4       +0 동일
  琴  U+7434            3        3       +0 동일
  膝  U+819D            2        2       +0 동일
  簪  U+7C2A            3        3       +0 동일
  導  U+5C0E            2        2       +0 동일
  羆  U+7F86            1        1       +0 동일
  胖  U+80D6           13       13       +0 동일
  馮  U+99AE            1        1       +0 동일
  豁  U+8C41            1        1       +0 동일
  琶  U+7436            6        6       +0 동일
  灾  U+707E            5        5       +0 동일
  从  U+4ECE           27       27       +0 동일
  潼  U+6F7C            1        1       +0 동일
  切  U+5207           19       19       +0 동일
  遮  U+906E            4        4       +0 동일
  氷  U+6C37            4        4       +0 동일
  厉  U+5389            2        2       +0 동일
  抑  U+6291            1        1       +0 동일
  戰  U+6230            6        6       +0 동일
  茎  U+830E            4        4       +0 동일
  隙  U+9699            2        2       +0 동일
  滂  U+6EC2           13       13       +0 동일
  插  U+63D2            5        5       +0 동일
  胮  U+80EE            1        1       +0 동일
  矛  U+77DB            2        2       +0 동일
  熟  U+719F            4        4       +0 동일
  貅  U+8C85            1        1       +0 동일
  荆  U+8346            1        1       +0 동일
  眉  U+7709           14       14       +0 동일
  椿  U+693F            1        1       +0 동일
  島  U+5CF6            2        2       +0 동일
  織  U+7E54            2        2       +0 동일
  很  U+5F88           66       66       +0 동일
  据  U+636E           13       13       +0 동일
  船  U+8239           46       46       +0 동일
  館  U+9928            1        1       +0 동일
  秘  U+79D8            2        2       +0 동일
  蜱  U+8731            7        7       +0 동일
  杳  U+6773           88       88       +0 동일
  癬  U+766C            2        2       +0 동일
  租  U+79DF            3        3       +0 동일
  酝  U+915D            1        1       +0 동일
  动  U+52A8           62       62       +0 동일
  向  U+5411           30       30       +0 동일
  十  U+5341           35       35       +0 동일
  紧  U+7D27           10       10       +0 동일
  课  U+8BFE            7        7       +0 동일
  腫  U+816B            7        7       +0 동일
  族  U+65CF           22       22       +0 동일
  峡  U+5CE1            2        2       +0 동일
  昭  U+662D            2        2       +0 동일
  喀  U+5580            1        1       +0 동일
  齒  U+9F52            1        1       +0 동일
  耻  U+803B            2        2       +0 동일
  趙  U+8D99            1        1       +0 동일
  絮  U+7D6E            2        2       +0 동일
  墩  U+58A9            4        4       +0 동일
  鹊  U+9E4A            1        1       +0 동일
  贰  U+8D30            1        1       +0 동일
  玉  U+7389           13       13       +0 동일
  吉  U+5409            3        3       +0 동일
  颜  U+989C            6        6       +0 동일
  萬  U+842C            2        2       +0 동일
  蛸  U+86F8            2        2       +0 동일
  雌  U+96CC            1        1       +0 동일
  䤨  U+4928            1        1       +0 동일
  俭  U+4FED            1        1       +0 동일
  草  U+8349           32       32       +0 동일
  绊  U+7ECA            1        1       +0 동일
  教  U+6559           27       27       +0 동일
  艺  U+827A            7        7       +0 동일
  能  U+80FD           57       57       +0 동일
  流  U+F9CA            4        4       +0 동일
  勋  U+52CB            1        1       +0 동일
  逸  U+9038            1        1       +0 동일
  译  U+8BD1            1        1       +0 동일
  怎  U+600E           15       15       +0 동일
  胡  U+80E1            7        7       +0 동일
  晉  U+6649            2        2       +0 동일
  按  U+6309           11       11       +0 동일
  详  U+8BE6            2        2       +0 동일
  沙  U+6C99           24       24       +0 동일
  舊  U+820A            9        9       +0 동일
  傍  U+508D            5        5       +0 동일
  侓  U+4F93         1415     1415       +0 동일
  置  U+7F6E           18       18       +0 동일
  結  U+7D50            3        3       +0 동일
  上  U+4E0A          203      203       +0 동일
  瞥  U+77A5           12       12       +0 동일
  尖  U+5C16            2        2       +0 동일
  保  U+4FDD           15       15       +0 동일
  娘  U+5A18            9        9       +0 동일
  斤  U+65A4            1        1       +0 동일
  故  U+6545           20       20       +0 동일
  命  U+547D           28       28       +0 동일
  燎  U+71CE            1        1       +0 동일
  嘴  U+5634           28       28       +0 동일
  鈀  U+9200            1        1       +0 동일
  㾦  U+3FA6            6        6       +0 동일
  果  U+679C           27       27       +0 동일
  医  U+533B           92       92       +0 동일
  匣  U+5323            2        2       +0 동일
  幸  U+5E78            2        2       +0 동일
  础  U+7840            2        2       +0 동일
  惯  U+60EF            3        3       +0 동일
  介  U+4ECB            5        5       +0 동일
  敢  U+6562            9        9       +0 동일
  书  U+4E66           39       39       +0 동일
  系  U+7CFB           23       23       +0 동일
  扶  U+6276            3        3       +0 동일
  负  U+8D1F            6        6       +0 동일
  旆  U+65C6            2        2       +0 동일
  證  U+8B49            3        3       +0 동일
  艇  U+8247            6        6       +0 동일
  烯  U+70EF            2        2       +0 동일
  蝇  U+8747            6        6       +0 동일
  夫  U+592B           20       20       +0 동일
  哑  U+54D1            1        1       +0 동일
  拇  U+62C7            3        3       +0 동일
  聩  U+8069            1        1       +0 동일
  趋  U+8D8B            3        3       +0 동일
  乪  U+4E6A            2        2       +0 동일
  坪  U+576A            3        3       +0 동일
  谓  U+8C13            1        1       +0 동일
  肛  U+809B            3        3       +0 동일
  跟  U+8DDF           27       27       +0 동일
  添  U+6DFB            3        3       +0 동일
  亩  U+4EA9            2        2       +0 동일
  搏  U+640F            2        2       +0 동일
  猪  U+732A            2        2       +0 동일
  闾  U+95FE            2        2       +0 동일
  橋  U+6A4B            3        3       +0 동일
  裒  U+88D2            5        5       +0 동일
  舞  U+821E           16       16       +0 동일
  刀  U+5200           15       15       +0 동일
  褙  U+8919            1        1       +0 동일
  坯  U+576F           14       14       +0 동일
  栘  U+6818            2        2       +0 동일
  種  U+7A2E            1        1       +0 동일
  死  U+6B7B           21       21       +0 동일
  闢  U+95E2            2        2       +0 동일
  覆  U+8986            2        2       +0 동일
  瓮  U+74EE            2        2       +0 동일
  芣  U+82A3            2        2       +0 동일
  涨  U+6DA8            2        2       +0 동일
  寂  U+5BC2            1        1       +0 동일
  桲  U+6872            3        3       +0 동일
  鸦  U+9E26            1        1       +0 동일
  愿  U+613F            5        5       +0 동일
  咳  U+54B3            1        1       +0 동일
  你  U+4F60           71       71       +0 동일
  夹  U+5939            7        7       +0 동일
  顿  U+987F            6        6       +0 동일
  寺  U+5BFA            1        1       +0 동일
  馆  U+9986            2        2       +0 동일
  攻  U+653B            6        6       +0 동일
  潦  U+6F66            1        1       +0 동일
  疲  U+75B2           42       42       +0 동일
  通  U+901A           46       46       +0 동일
  埤  U+57E4           10       10       +0 동일
  驶  U+9A76            3        3       +0 동일
  轨  U+8F68            3        3       +0 동일
  泛  U+6CDB            5        5       +0 동일
  枷  U+67B7            4        4       +0 동일
  慣  U+6163            1        1       +0 동일
  匦  U+5326            1        1       +0 동일
  術  U+8853            3        3       +0 동일
  編  U+7DE8            1        1       +0 동일
  企  U+4F01            2        2       +0 동일
  主  U+4E3B           28       28       +0 동일
  蠙  U+8819            1        1       +0 동일
  蒋  U+848B            1        1       +0 동일
  纷  U+7EB7            3        3       +0 동일
  墒  U+5892            2        2       +0 동일
  号  U+53F7           16       16       +0 동일
  颗  U+9897            2        2       +0 동일
  襄  U+8944            1        1       +0 동일
  谣  U+8C23            1        1       +0 동일
  體  U+9AD4           13       13       +0 동일
  邀  U+9080            1        1       +0 동일
  帝  U+5E1D            5        5       +0 동일
  圓  U+5713            2        2       +0 동일
  呉  U+5449            1        1       +0 동일
  扑  U+6251           83       83       +0 동일
  忘  U+5FD8            8        8       +0 동일
  砲  U+7832           14       14       +0 동일
  痙  U+75D9            1        1       +0 동일
  办  U+529E           12       12       +0 동일
  化  U+5316           87       87       +0 동일
  菌  U+83CC            5        5       +0 동일
  顺  U+987A            4        4       +0 동일
  围  U+56F4            6        6       +0 동일
  任  U+4EFB           18       18       +0 동일
  控  U+63A7            1        1       +0 동일
  受  U+53D7           14       14       +0 동일
  胃  U+80C3            2        2       +0 동일
  放  U+653E           24       24       +0 동일
  杯  U+676F            9        9       +0 동일
  善  U+5584            6        6       +0 동일
  稻  U+7A3B            1        1       +0 동일
  窘  U+7A98            1        1       +0 동일
  冲  U+51B2            6        6       +0 동일
  豕  U+8C55            1        1       +0 동일
  𡏋  U+213CB           2        2       +0 동일
  擧  U+64E7            1        1       +0 동일
  汹  U+6C79            2        2       +0 동일
  济  U+6D4E           10       10       +0 동일
  拙  U+62D9            1        1       +0 동일
  视  U+89C6           13       13       +0 동일
  罴  U+7F74            2        2       +0 동일
  䟡  U+47E1            3        3       +0 동일
  徨  U+5FA8            3        3       +0 동일
  鞭  U+97AD            9        9       +0 동일
  营  U+8425            4        4       +0 동일
  赶  U+8D76            6        6       +0 동일
  积  U+79EF           10       10       +0 동일
  霆  U+9706            1        1       +0 동일
  儆  U+5106            1        1       +0 동일
  赞  U+8D5E            3        3       +0 동일
  率  U+7387            9        9       +0 동일
  符  U+7B26            1        1       +0 동일
  火  U+706B           55       55       +0 동일
  裳  U+88F3            1        1       +0 동일
  挨  U+6328            4        4       +0 동일
  佞  U+4F5E            1        1       +0 동일
  應  U+61C9            4        4       +0 동일
  津  U+6D25            3        3       +0 동일
  誣  U+8AA3            1        1       +0 동일
  裙  U+88D9            1        1       +0 동일
  鳥  U+9CE5            3        3       +0 동일
  圆  U+5706            7        7       +0 동일
  柔  U+67D4            3        3       +0 동일
  沟  U+6C9F            5        5       +0 동일
  鬼  U+9B3C            6        6       +0 동일
  倖  U+5016            1        1       +0 동일
  挥  U+6325            5        5       +0 동일
  帛  U+5E1B            2        2       +0 동일
  绸  U+7EF8            2        2       +0 동일
  律  U+5F8B           16       16       +0 동일
  筋  U+7B4B           11       11       +0 동일
  染  U+67D3            5        5       +0 동일
  簌  U+7C0C            6        6       +0 동일
  願  U+9858            1        1       +0 동일
  蓮  U+84EE            1        1       +0 동일
  缥  U+7F25           14       14       +0 동일
  吸  U+5438            2        2       +0 동일
  遊  U+904A            3        3       +0 동일
  菊  U+83CA            5        5       +0 동일
  巧  U+5DE7            4        4       +0 동일
  贪  U+8D2A            3        3       +0 동일
  則  U+5247            1        1       +0 동일
  晓  U+6653            3        3       +0 동일
  遲  U+9072            1        1       +0 동일
  産  U+7523            2        2       +0 동일
  迹  U+8FF9           23       23       +0 동일
  隨  U+96A8            1        1       +0 동일
  钞  U+949E            3        3       +0 동일
  干  U+5E72           43       43       +0 동일
  扒  U+6252           22       22       +0 동일
  苦  U+82E6           10       10       +0 동일
  寮  U+5BEE            1        1       +0 동일
  蟆  U+87C6            1        1       +0 동일
  眺  U+773A            2        2       +0 동일
  曼  U+66FC            1        1       +0 동일
  枰  U+67B0            2        2       +0 동일
  序  U+5E8F            5        5       +0 동일
  喹  U+55B9            1        1       +0 동일
  付  U+4ED8            8        8       +0 동일
  癯  U+766F            1        1       +0 동일
  朔  U+6714            2        2       +0 동일
  级  U+7EA7           13       13       +0 동일
  宜  U+5B9C           14       14       +0 동일
  䨦  U+4A26            1        1       +0 동일
  售  U+552E           13       13       +0 동일
  道  U+9053           65       65       +0 동일
  段  U+6BB5           11       11       +0 동일
  触  U+89E6            4        4       +0 동일
  競  U+7AF6            2        2       +0 동일
  斛  U+659B            2        2       +0 동일
  藩  U+85E9            1        1       +0 동일
  欢  U+6B22           13       13       +0 동일
  萊  U+840A            1        1       +0 동일
  頭  U+982D            3        3       +0 동일
  陰  U+9670            5        5       +0 동일
  跹  U+8DF9            4        4       +0 동일
  國  U+570B            7        7       +0 동일
  含  U+542B            2        2       +0 동일
  灰  U+7070           10       10       +0 동일
  暇  U+6687            1        1       +0 동일
  富  U+5BCC           14       14       +0 동일
  軟  U+8EDF            1        1       +0 동일
  键  U+952E            3        3       +0 동일
  卖  U+5356           22       22       +0 동일
  魚  U+9B5A            5        5       +0 동일
  厖  U+5396            1        1       +0 동일
  埃  U+57C3            1        1       +0 동일
  脊  U+810A            1        1       +0 동일
  皂  U+7682            2        2       +0 동일
  抖  U+6296            1        1       +0 동일
  楞  U+695E            2        2       +0 동일
  贤  U+8D24            6        6       +0 동일
  秃  U+79C3            1        1       +0 동일
  络  U+7EDC            3        3       +0 동일
  肯  U+80AF            1        1       +0 동일
  揚  U+63DA            1        1       +0 동일
  甫  U+752B            3        3       +0 동일
  啦  U+5566            8        8       +0 동일
  更  U+66F4            4        4       +0 동일
  𡎚  U+2139A           2        2       +0 동일
  雕  U+96D5            2        2       +0 동일
  犏  U+728F            4        4       +0 동일
  拜  U+62DC            2        2       +0 동일
  疼  U+75BC            3        3       +0 동일
  各  U+5404           10       10       +0 동일
  頗  U+9817            1        1       +0 동일
  瓦  U+74E6           12       12       +0 동일
  侶  U+4FB6            1        1       +0 동일
  洗  U+6D17            8        8       +0 동일
  睡  U+7761            4        4       +0 동일
  刺  U+523A            8        8       +0 동일
  啡  U+5561            1        1       +0 동일
  倾  U+503E            4        4       +0 동일
  余  U+4F59            2        2       +0 동일
  瞅  U+7785            1        1       +0 동일
  频  U+9891           44       44       +0 동일
  粒  U+7C92            1        1       +0 동일
  梦  U+68A6            8        8       +0 동일
  重  U+91CD           34       34       +0 동일
  勃  U+52C3            9        9       +0 동일
  如  U+5982           29       29       +0 동일
  珂  U+73C2            1        1       +0 동일
  葡  U+8461           26       26       +0 동일
  腐  U+8150            4        4       +0 동일
  壯  U+58EF            1        1       +0 동일
  龍  U+9F8D            2        2       +0 동일
  偷  U+5077            5        5       +0 동일
  霧  U+9727            7        7       +0 동일
  彩  U+5F69           13       13       +0 동일
  画  U+753B           19       19       +0 동일
  摩  U+6469            2        2       +0 동일
  呈  U+5448            2        2       +0 동일
  弊  U+5F0A            1        1       +0 동일
  鳞  U+9CDE            2        2       +0 동일
  戒  U+6212            5        5       +0 동일
  壶  U+58F6            7        7       +0 동일
  又  U+53C8           43       43       +0 동일
  統  U+7D71           11       11       +0 동일
  银  U+94F6            4        4       +0 동일
  献  U+732E            1        1       +0 동일
  敛  U+655B            3        3       +0 동일
  蝗  U+8757            1        1       +0 동일
  簇  U+7C07            1        1       +0 동일
  菖  U+83D6            2        2       +0 동일
  萎  U+840E            1        1       +0 동일
  咽  U+54BD            2        2       +0 동일
  最  U+6700           19       19       +0 동일
  滩  U+6EE9            1        1       +0 동일
  甘  U+7518            5        5       +0 동일
  號  U+865F            5        5       +0 동일
  璺  U+74BA            1        1       +0 동일
  搜  U+641C            2        2       +0 동일
  杖  U+6756            3        3       +0 동일
  餐  U+9910            5        5       +0 동일
  缕  U+7F15            1        1       +0 동일
  筆  U+7B46            3        3       +0 동일
  应  U+5E94           21       21       +0 동일
  御  U+5FA1            1        1       +0 동일
  拒  U+62D2            3        3       +0 동일
  浿  U+6D7F            1        1       +0 동일
  盖  U+76D6           21       21       +0 동일
  郦  U+90E6            1        1       +0 동일
  歪  U+6B6A            2        2       +0 동일
  演  U+6F14           19       19       +0 동일
  敏  U+654F            8        8       +0 동일
  殉  U+6B89            1        1       +0 동일
  乙  U+4E59            2        2       +0 동일
  求  U+6C42           15       15       +0 동일
  料  U+6599           16       16       +0 동일
  殍  U+6B8D            3        3       +0 동일
  丰  U+4E30            6        6       +0 동일
  螺  U+87BA            1        1       +0 동일
  雷  U+96F7           15       15       +0 동일
  讚  U+8B9A            1        1       +0 동일
  同  U+540C           29       29       +0 동일
  褪  U+892A            2        2       +0 동일
  媲  U+5AB2            4        4       +0 동일
  角  U+89D2           20       20       +0 동일
  看  U+770B           33       33       +0 동일
  底  U+5E95           27       27       +0 동일
  匀  U+5300            1        1       +0 동일
  为  U+4E3A           72       72       +0 동일
  衷  U+8877            1        1       +0 동일
  衆  U+8846            1        1       +0 동일
  效  U+6548            5        5       +0 동일
  纲  U+7EB2            1        1       +0 동일
  椪  U+692A            5        5       +0 동일
  赤  U+8D64            1        1       +0 동일
  刚  U+521A            5        5       +0 동일
  渡  U+6E21            2        2       +0 동일
  醉  U+9189            2        2       +0 동일
  俗  U+4FD7           16       16       +0 동일
  番  U+756A            3        3       +0 동일
  乏  U+4E4F            4        4       +0 동일
  蛙  U+86D9            2        2       +0 동일
  遷  U+9077            1        1       +0 동일
  獥  U+7365            1        1       +0 동일
  移  U+79FB           16       16       +0 동일
  驼  U+9A7C            1        1       +0 동일
  栉  U+6809            2        2       +0 동일
  臟  U+81DF            8        8       +0 동일
  里  U+91CC          103      103       +0 동일
  鴦  U+9D26            1        1       +0 동일
  魏  U+9B4F            1        1       +0 동일
  儿  U+513F          290      290       +0 동일
  备  U+5907            5        5       +0 동일
  奡  U+5961            1        1       +0 동일
  徐  U+5F90            3        3       +0 동일
  尘  U+5C18           10       10       +0 동일
  揽  U+63FD            5        5       +0 동일
  窝  U+7A9D            4        4       +0 동일
  硕  U+7855            2        2       +0 동일
  娟  U+5A1F            2        2       +0 동일
  蟛  U+87DB            4        4       +0 동일
  遏  U+904F            1        1       +0 동일
  價  U+50F9            3        3       +0 동일
  凤  U+51E4            9        9       +0 동일
  误  U+8BEF            6        6       +0 동일
  肥  U+80A5           12       12       +0 동일
  晶  U+6676            3        3       +0 동일
  篮  U+7BEE            6        6       +0 동일
  驳  U+9A73            3        3       +0 동일
  穿  U+7A7F           13       13       +0 동일
  牲  U+7272            1        1       +0 동일
  饿  U+997F            6        6       +0 동일
  悠  U+60A0            4        4       +0 동일
  存  U+5B58           26       26       +0 동일
  蒲  U+84B2           62       62       +0 동일
  磷  U+78F7            1        1       +0 동일
  鐠  U+9420            1        1       +0 동일
  剘  U+5258            2        2       +0 동일
  每  U+6BCF            9        9       +0 동일
  爸  U+7238            7        7       +0 동일
  落  U+F918            1        1       +0 동일
  畵  U+7575            1        1       +0 동일
  仑  U+4ED1            1        1       +0 동일
  私  U+79C1            3        3       +0 동일
  囊  U+56CA           12       12       +0 동일
  滚  U+6EDA            5        5       +0 동일
  寸  U+5BF8            1        1       +0 동일
  話  U+8A71            2        2       +0 동일
  蔈  U+8508            2        2       +0 동일
  歷  U+6B77            1        1       +0 동일
  庙  U+5E99            6        6       +0 동일
  罢  U+7F62            2        2       +0 동일
  灵  U+7075            5        5       +0 동일
  科  U+79D1           23       23       +0 동일
  缝  U+7F1D            2        2       +0 동일
  满  U+6EE1           16       16       +0 동일
  棘  U+68D8            1        1       +0 동일
  闸  U+95F8            2        2       +0 동일
  短  U+77ED            3        3       +0 동일
  兼  U+517C            3        3       +0 동일
  期  U+671F           17       17       +0 동일
  西  U+897F           44       44       +0 동일
  索  U+F96A            1        1       +0 동일
  踵  U+8E35            2        2       +0 동일
  纪  U+7EAA            6        6       +0 동일
  習  U+7FD2            1        1       +0 동일
  铀  U+94C0            4        4       +0 동일
  賊  U+8CCA            2        2       +0 동일
  脉  U+8109            8        8       +0 동일
  極  U+6975            1        1       +0 동일
  文  U+6587          699      699       +0 동일
  昌  U+660C            2        2       +0 동일
  瞰  U+77B0            1        1       +0 동일
  繖  U+7E56            1        1       +0 동일
  信  U+4FE1           38       38       +0 동일
  瀑  U+7011            4        4       +0 동일
  巇  U+5DC7            2        2       +0 동일
  面  U+9762          104      104       +0 동일
  警  U+8B66            7        7       +0 동일
  喋  U+558B            1        1       +0 동일
  項  U+9805            2        2       +0 동일
  题  U+9898           27       27       +0 동일
  情  U+60C5           49       49       +0 동일
  矮  U+77EE            2        2       +0 동일
  屏  U+5C4F           26       26       +0 동일
  笸  U+7B38            6        6       +0 동일
  全  U+5168           43       43       +0 동일
  京  U+4EAC           13       13       +0 동일
  等  U+7B49           18       18       +0 동일
  蹒  U+8E52            4        4       +0 동일
  赦  U+8D66            2        2       +0 동일
  莫  U+83AB            7        7       +0 동일
  橫  U+6A6B            2        2       +0 동일
  旱  U+65F1            5        5       +0 동일
  聚  U+805A            8        8       +0 동일
  径  U+5F84            1        1       +0 동일
  骗  U+9A97           29       29       +0 동일
  艰  U+8270            1        1       +0 동일
  莲  U+83B2            4        4       +0 동일
  伦  U+4F26            1        1       +0 동일
  姿  U+59FF            4        4       +0 동일
  乞  U+4E5E            1        1       +0 동일
  眼  U+773C           26       26       +0 동일
  混  U+6DF7            6        6       +0 동일
  執  U+57F7            1        1       +0 동일
  蹁  U+8E41            4        4       +0 동일
